aa-lsm-hook                                   - AppArmor system integration
gnome-online-accounts                         - The GNOME Online Accounts package contains a framework used to access the user's online accounts
gnome-remote-desktop                          - Remote desktop daemon for GNOME using pipewire
gnome-screenshot                              - GNOME Screenshot Utility
gnome-session                                 - Provides GNOME session core
gnome-session-shell                           - Runtime support for GNOME Shell Session.
gnome-settings-daemon                         - Daemon handling the GNOME session settings
gnome-shell                                   - GNOME Desktop Shell
gnome-shell-extension-appindicator            - AppIndicator/KStatusNotifierItem/Legacy icons support for GNOME Shell
gnome-shell-extension-apps-menu               - Manage your GNOME Extensions
gnome-shell-extension-auto-move-windows       - Manage your GNOME Extensions
gnome-shell-extension-native-window-placement - Manage your GNOME Extensions
gnome-shell-extension-screenshot-window-sizer - Manage your GNOME Extensions
gnome-shell-extension-speedinator             - Control the speed of gnome-shell animations
gnome-shell-extension-user-theme              - Manage your GNOME Extensions
gnome-shell-extension-window-list             - Manage your GNOME Extensions
gnome-shell-extensions                        - Manage your GNOME Extensions
gnome-system-monitor                          - View and manage system resources
gnome-terminal                                - GNOME Terminal Emulator
gnome-themes-extra                            - The Standard GNOME3 Themes Package
gnome-tweaks                                  - A tool to customize advanced GNOME 3 options
gnome-user-docs                               - GNOME core documentation
gnucash                                       - GnuCash is personal and small-business financial-accounting software
gnupg                                         - Complete and free implementation of OpenPGP
gobject-introspection                         - Generate interface introspection data for GObject libraries
gpart                                         - Gpart is a small tool which tries to guess what partitions are there on a drive.
gparted                                       - GParted is a free graphical disk partition editor
gpgme                                         - language library in C for cryptography support
gpm                                           - gpm (General Purpose Mouse daemon)
gptfdisk                                      - GPT fdisk-like utility
graphene                                      - A thin layer of types for graphic libraries
graphicsmagick                                - GraphicsMagick provides a set of commandline tools and programming APIs for manipulating, editing, and converting raster and vector images.
graphite2                                     - Rendering engine for graphite fonts
graphite2-devel                               - Development files for graphite2
graphviz                                      - Graphviz is open source graph visualization software
grep                                          - grep (pattern searching tool)
grilo                                         - Media discovery framework
groff                                         - groff (Typesetting package to read formatted files)
grub2                                         - GRUB Boot Loader
gsettings-desktop-schemas                     - A collection of GSettings schemas for settings shared by various components of a GNOME Desktop.
gsl                                           - Numerical library for C and C++
gsm                                           - GSM lossy speech compression library
gsound                                        - GSound is a small library for playing system sounds.
gspell                                        - GTK+ Spell Checker Library
gssdp                                         - A GObject-based API for handling resource discovery and announcement over SSDP.
gstreamer-1.0                                 - Streaming media framework
gstreamer-1.0-devel                           - Development files for gstreamer-1.0
gstreamer-1.0-libav                           - GStreamer libav based plugin
gstreamer-1.0-plugins-bad                     - Additional GStreamer plugins
gstreamer-1.0-plugins-base                    - GStreamer base plug-ins and elements
gstreamer-1.0-plugins-base-devel              - Development files for gstreamer-1.0-plugins-base
gstreamer-1.0-plugins-good                    - GStreamer Good Plugins, a framework for streaming media
